Acronym,Full name,Website,HE call topic,Domains,Sub-domains / Use cases,HPC technologies,Consortium
ChEESE-2P,Centre of Excellence for Exascale in Solid Earth,https://cheese-coe.eu/,Centres of Excellence for supporting supercomputing applications for Science and Innovation (HORIZON-EUROHPC-JU-2021-COE-01-02),earth science,"earthquakes, seismic, tomography, tsunamis, magnetohydrodynamics, physical volcanology, geodynamics, glacier hazards","artificial intelligence, machine learning, simulation, uncertainty quantification, neuronal networks","BARCELONA SUPERCOMPUTING CENTER - CENTRO NACIONAL DE SUPERCOMPUTACIÓN, ISTITUTO NAZIONALE DI GEOFISICA E VULCANOLOGIA, ICELANDIC METEOROLOGICAL OFFICE, SWISS FEDERAL INSTITUTE OF TECHNOLOGY, UNIVERSITY OF STUTTGART - HIGH PERFORMANCE COMPUTING CENTER, 
CINECA, TECHNICAL UNIVERSITY OF MUNICH, LUDWIG-MAXIMILIANS UNIVERSITÄT MÜNCHEN, UNIVERSITY OF MÁLAGA, NORWEGIAN GEOTECHNICAL INSTITUTE, INSTITUT DE PHYSIQUE DU GLOBE DE PARIS, NATIONAL CENTER FOR SCIENTIFIC RESEARCH MARSEILLE, BULL SAS"
BioExcel-3,Centre of Excellence for Computational Biomolecular Research,https://bioexcel.eu/,Centres of Excellence for supporting supercomputing applications for Science and Innovation (HORIZON-EUROHPC-JU-2021-COE-01-02),life science,"biomolecular research, drug development, molecular dynamics","simulation, artificial intelligence, machine learning","KTH Royal Institute of Technology, Universiteit Utrecht, Fundacio Institut de Recerca Biomedica (IRB Barcelona), Forschungszentrum Jülich, The University of Edinburgh, The University of Manchester, European Molecular Biology Laboratory (EMBL-EBI), Max Planck Gesellschaft Zur Foerderung der Wissenschaften, Barcelona Supercomputing Center, Ian Harrow Consulting, Norman Consulting, The University of Jyväskylä, Nostrum Biodiscovery, Across Limits"
HiDALGO2,HPC and Big Data Technologies for Global Challenges,,Centres of Excellence for supporting supercomputing applications for Science and Innovation (HORIZON-EUROHPC-JU-2021-COE-01-02),"society, environment"," air quality in urban agglomerations, energy efficiency of buildings, renewable energy sources, the spread of wildfires, meteo-hydrological forecasting","computational fluid dynamics, high-performance data analytics, artificial intelligence",
MultiXscale,Centre of Excellence in Exascale-Oriented Application Co-design and Delivery for Multiscale Simulations,,Centres of Excellence for supporting supercomputing applications for Science and Innovation (HORIZON-EUROHPC-JU-2021-COE-01-02),software development,"helicopter design, certification for civil transport, battery applications for the sustainable energy transition, ultrasound for non-invasive diagnostics, biomedical applications",,
EXCELLERAT P2,Centre of Excellence for Engineering Applications,https://www.excellerat.eu/,Centres of Excellence for supporting supercomputing applications for Science and Innovation (HORIZON-EUROHPC-JU-2021-COE-01-02),"engineering, manufacturing, energy, mobility","aircraft, rotors, emissions, aero-dynamics, aero-acoustics",simulation,"UNIVERSITY OF STUTTGART, THE UNIVERSITY OF EDINBURGH, CINECA CONSORZIO INTERUNIVERSITARIO, SICOS BW GMBH, KUNGLIGA TEKNISKA HOEGSKOLAN, ARCTUR RACUNALNISKI INZENIRING DOO, DEUTSCHES ZENTRUM FUR LUFT - UND RAUMFAHRT EV, CENTRE EUROPEEN DE RECHERCHE ET DEFORMATION AVANCEE EN CALCUL SCIENTIFIQUE, BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION, SSC SERVICES GMBH, FRAUNHOFER GESELLSCHAFT ZUR FORDERUNG DER ANGEWANDTEN FORSCHUNG EV, TERATEC, RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN"
ESIWACE3,Centre of Excellence in Simulation of Weather and Climate in Europe,,Centres of Excellence for supporting supercomputing applications for Science and Innovation (HORIZON-EUROHPC-JU-2021-COE-01-02),"earth science, environment","earth system modeling, weather, and climate prediction",simulation,
MaX,Materials Design at the Exascale,http://www.max-centre.eu/,Centres of Excellence preparing applications in the Exascale era (HORIZON-EUROHPC-JU-2021-COE-01-01),"materials, information technology, energy, life science, manufacturing",,simulation,"CONSIGLIO NAZIONALE DELLE RICERCHE, SCUOLA INTERNAZIONALE SUPERIORE DI STUDI AVANZATI DI TRIESTE, FUNDACIO INSTITUT CATALA DE NANOCIENCIA I NANOTECNOLOGIA, AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS, FORSCHUNGSZENTRUM JULICH GMBH, COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES, ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE, UNIVERSITEIT GENT, CINECA CONSORZIO INTERUNIVERSITARIO, BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION, EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH, E 4 COMPUTER ENGINEERING SPA, ARM LIMITED, UNITED NATIONS EDUCATIONAL SCIENTIFIC AND CULTURAL ORGANIZATION, TRUST-IT SRL, COMMPLA SRL
"
SPACE,Scalable Parallel and distributed Astrophysical Codes for Exascale,https://www.space-coe.eu/,Centres of Excellence preparing applications in the Exascale era (HORIZON-EUROHPC-JU-2021-COE-01-01),"astrophysics, cosmology",,simulation,"University of Turin, INAF, CINECA, E4 , EnginSoft, Universiteit Leuven, VSB-Technical University of Ostrava, CNRS, BULL, LMU, Goethe University, FORTH, University of Oslo, BSC"
Plasma-PEPSC,Plasma Exascale-Performance Simulations Centre of Excellence,https://plasma-pepsc.eu/,Centres of Excellence preparing applications in the Exascale era (HORIZON-EUROHPC-JU-2021-COE-01-01),plasma science,"magnetic confinement fusion, industrial plasmas, medical applications, basic plasma experiments, plasma accelerators, laser-plasma interactions, high energy density physics, laboratory astrophysics, space physics, astrophysics",,"KUNGLIGA TEKNISKA HOEGSKOLA, MAX-PLANCK-GESELLSCHAFT ZUR FORDERUNG DER WISSENSCHAFTEN EV, Ústav fyziky plazmatu AV ČR, v. v. i., FORTH, SIPEARL, BARCELONA SUPERCOMPUTING CENTER CENTRO NACIONAL DE SUPERCOMPUTACION, HELSINGIN YLIOPISTO, UNIVERZA V LJUBLJANI, HELMHOLTZ-ZENTRUM DRESDEN-ROSSENDORF EV, TECHNISCHE UNIVERSITAET MUENCHEN"
CEEC,Center of Excellence for Exascale CFD,https://ceec-coe.eu/,Centres of Excellence preparing applications in the Exascale era (HORIZON-EUROHPC-JU-2021-COE-01-01),engineering,"engineering, aeronautic, atmospheric engineering",simulation,